# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	11352	11654	-	WP_126165663.1	WP_126165663.1		hypothetical protein			STH12_RS00065	303	100	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	12121	12645	+							STH12_RS00070	525		old_locus_tag=STH12_00014
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	12121	12645	+	WP_126165664.1	WP_126165664.1		DUF3016 domain-containing protein			STH12_RS00070	525	174	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	12652	14403	-							STH12_RS00075	1752		old_locus_tag=STH12_00015
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	12652	14403	-	WP_126165665.1	WP_126165665.1		GGDEF domain-containing protein			STH12_RS00075	1752	583	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	14467	14775	-							STH12_RS00080	309		old_locus_tag=STH12_00016
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	14467	14775	-	WP_126165666.1	WP_126165666.1		prephenate dehydrogenase			STH12_RS00080	309	102	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	14821	15732	+							STH12_RS00085	912		old_locus_tag=STH12_00017
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	14821	15732	+	WP_126165667.1	WP_126165667.1		TraB/GumN family protein			STH12_RS00085	912	303	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	15880	16515	+							STH12_RS00090	636		old_locus_tag=STH12_00018
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	15880	16515	+	WP_126165668.1	WP_126165668.1		chemoreceptor glutamine deamidase CheD			STH12_RS00090	636	211	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	16512	17285	-							STH12_RS00095	774		old_locus_tag=STH12_00019
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	16512	17285	-	WP_126165669.1	WP_126165669.1		methyltransferase domain-containing protein			STH12_RS00095	774	257	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	17534	18370	+							STH12_RS00100	837		old_locus_tag=STH12_00020
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	17534	18370	+	WP_126169362.1	WP_126169362.1		dehydratase			STH12_RS00100	837	278	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	18446	19336	-							STH12_RS00105	891		old_locus_tag=STH12_00021
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	18446	19336	-	WP_126165670.1	WP_126165670.1		aldo/keto reductase			STH12_RS00105	891	296	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	19490	21172	+							STH12_RS00110	1683		old_locus_tag=STH12_00022
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	19490	21172	+	WP_126165671.1	WP_126165671.1		formate--tetrahydrofolate ligase			STH12_RS00110	1683	560	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	21240	22841	-							STH12_RS00115	1602		old_locus_tag=STH12_00023
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	21240	22841	-	WP_164551111.1	WP_164551111.1		mechanosensitive ion channel			STH12_RS00115	1602	533	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	22978	23307	+							STH12_RS00120	330		old_locus_tag=STH12_00024
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	22978	23307	+	WP_126165672.1	WP_126165672.1		hypothetical protein			STH12_RS00120	330	109	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	23630	23923	+							STH12_RS21595	294		old_locus_tag=STH12_00026
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	23630	23923	+	WP_237158691.1	WP_237158691.1		ABC-type zinc uptake system zinc chaperone			STH12_RS21595	294	97	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	24007	25200	+							STH12_RS00130	1194		old_locus_tag=STH12_00027
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	24007	25200	+	WP_126165673.1	WP_126165673.1		hypothetical protein			STH12_RS00130	1194	397	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	25184	26089	+							STH12_RS00135	906		old_locus_tag=STH12_00028
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	25184	26089	+	WP_126165674.1	WP_126165674.1		zinc ABC transporter substrate-binding protein			STH12_RS00135	906	301	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	26093	26854	+							STH12_RS00140	762		old_locus_tag=STH12_00029
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	26093	26854	+	WP_126165675.1	WP_126165675.1		metal ABC transporter permease			STH12_RS00140	762	253	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	27017	27754	+							STH12_RS00145	738		old_locus_tag=STH12_00030
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	27017	27754	+	WP_126165676.1	WP_126165676.1		1-acylglycerol-3-phosphate O-acyltransferase			STH12_RS00145	738	245	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	27840	28265	+					rraB		STH12_RS00150	426		old_locus_tag=STH12_00031
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	27840	28265	+	WP_126165677.1	WP_126165677.1		ribonuclease E inhibitor RraB	rraB		STH12_RS00150	426	141	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	28350	29309	-							STH12_RS00155	960		old_locus_tag=STH12_00032
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	28350	29309	-	WP_126165678.1	WP_126165678.1		sensor domain-containing diguanylate cyclase			STH12_RS00155	960	319	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	29323	30330	-							STH12_RS00160	1008		old_locus_tag=STH12_00033
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	29323	30330	-	WP_126165679.1	WP_126165679.1		response regulator			STH12_RS00160	1008	335	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	30635	31441	+							STH12_RS00165	807		old_locus_tag=STH12_00034
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	30635	31441	+	WP_126165680.1	WP_126165680.1		crotonase/enoyl-CoA hydratase family protein			STH12_RS00165	807	268	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	31564	32061	+							STH12_RS00170	498		old_locus_tag=STH12_00035
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	31564	32061	+	WP_126165681.1	WP_126165681.1		YqhA family protein			STH12_RS00170	498	165	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	32101	32994	-							STH12_RS00175	894		old_locus_tag=STH12_00036
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	32101	32994	-	WP_126165682.1	WP_126165682.1		DUF3530 family protein			STH12_RS00175	894	297	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	33038	34621	-							STH12_RS00180	1584		old_locus_tag=STH12_00037
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	33038	34621	-	WP_126169364.1	WP_126169364.1		amidohydrolase			STH12_RS00180	1584	527	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	34973	37876	-					rapA		STH12_RS00185	2904		old_locus_tag=STH12_00038
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	34973	37876	-	WP_126165683.1	WP_126165683.1		RNA polymerase-associated protein RapA	rapA		STH12_RS00185	2904	967	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	38211	39602	+							STH12_RS00190	1392		old_locus_tag=STH12_00039
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	38211	39602	+	WP_126165684.1	WP_126165684.1		PhoH family protein			STH12_RS00190	1392	463	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	39798	43505	+							STH12_RS00195	3708		old_locus_tag=STH12_00040
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	39798	43505	+	WP_126165685.1	WP_126165685.1		response regulator			STH12_RS00195	3708	1235	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	43517	45901	+							STH12_RS00200	2385		old_locus_tag=STH12_00041
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	43517	45901	+	WP_126165686.1	WP_126165686.1		zinc-dependent metalloprotease			STH12_RS00200	2385	794	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	46094	46633	+							STH12_RS00205	540		old_locus_tag=STH12_00042
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	46094	46633	+	WP_126165687.1	WP_126165687.1		hypothetical protein			STH12_RS00205	540	179	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	46774	49851	-							STH12_RS00210	3078		old_locus_tag=STH12_00043
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	46774	49851	-	WP_126165688.1	WP_126165688.1		efflux RND transporter permease subunit			STH12_RS00210	3078	1025	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	49853	50929	-							STH12_RS00215	1077		old_locus_tag=STH12_00044
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	49853	50929	-	WP_126165689.1	WP_126165689.1		efflux RND transporter periplasmic adaptor subunit			STH12_RS00215	1077	358	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	51062	51994	+							STH12_RS00220	933		old_locus_tag=STH12_00045
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	51062	51994	+	WP_126165690.1	WP_126165690.1		LysR family transcriptional regulator			STH12_RS00220	933	310	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	52137	53504	-							STH12_RS00225	1368		old_locus_tag=STH12_00046
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	52137	53504	-	WP_126165691.1	WP_126165691.1		MATE family efflux transporter			STH12_RS00225	1368	455	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	53729	54019	+							STH12_RS00230	291		old_locus_tag=STH12_00047
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	53729	54019	+	WP_126165692.1	WP_126165692.1		co-chaperone GroES			STH12_RS00230	291	96	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	54074	55711	+					groL		STH12_RS00235	1638		old_locus_tag=STH12_00048
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	54074	55711	+	WP_126165693.1	WP_126165693.1		chaperonin GroEL	groL		STH12_RS00235	1638	545	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	56235	57890	-							STH12_RS00240	1656		old_locus_tag=STH12_00049
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	56235	57890	-	WP_126165694.1	WP_126165694.1		amidohydrolase family protein			STH12_RS00240	1656	551	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	57907	59469	-							STH12_RS00245	1563		old_locus_tag=STH12_00050
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	57907	59469	-	WP_126165695.1	WP_126165695.1		amidohydrolase family protein			STH12_RS00245	1563	520	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	61066	63945	-							STH12_RS00250	2880		old_locus_tag=STH12_00051
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	61066	63945	-	WP_126165696.1	WP_126165696.1		insulinase family protein			STH12_RS00250	2880	959	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	65567	66523	-							STH12_RS00260	957		old_locus_tag=STH12_00053
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	65567	66523	-	WP_126165698.1	WP_126165698.1		hypothetical protein			STH12_RS00260	957	318	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	66791	68179	-							STH12_RS00265	1389		old_locus_tag=STH12_00054
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	66791	68179	-	WP_126165699.1	WP_126165699.1		NurA domain-containing protein			STH12_RS00265	1389	462	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	68181	70226	-							STH12_RS00270	2046		old_locus_tag=STH12_00055
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	68181	70226	-	WP_126165700.1	WP_126165700.1		DUF87 domain-containing protein			STH12_RS00270	2046	681	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	70232	71179	-							STH12_RS00275	948		old_locus_tag=STH12_00056
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	70232	71179	-	WP_126165701.1	WP_126165701.1		site-specific DNA-methyltransferase			STH12_RS00275	948	315	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	72143	73030	-							STH12_RS00280	888		old_locus_tag=STH12_00057
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	72143	73030	-	WP_126165702.1	WP_126165702.1		TIM44-like domain-containing protein			STH12_RS00280	888	295	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	73785	74258	+							STH12_RS00285	474		old_locus_tag=STH12_00058
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	73785	74258	+	WP_126165703.1	WP_126165703.1		NYN domain-containing protein			STH12_RS00285	474	157	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	74472	74795	-							STH12_RS00290	324		old_locus_tag=STH12_00059
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	74472	74795	-	WP_237158692.1	WP_237158692.1		group 1 truncated hemoglobin			STH12_RS00290	324	107	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	75223	77514	+							STH12_RS00295	2292		old_locus_tag=STH12_00060
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	75223	77514	+	WP_126165705.1	WP_126165705.1		carboxypeptidase-like regulatory domain-containing protein			STH12_RS00295	2292	763	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	77602	79143	-							STH12_RS00300	1542		old_locus_tag=STH12_00061
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	77602	79143	-	WP_126165706.1	WP_126165706.1		MFS transporter			STH12_RS00300	1542	513	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	79504	81084	+							STH12_RS00305	1581		old_locus_tag=STH12_00062
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	79504	81084	+	WP_164551112.1	WP_164551112.1		ethylbenzene dehydrogenase-related protein			STH12_RS00305	1581	526	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	81081	81728	+							STH12_RS00310	648		old_locus_tag=STH12_00063
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	81081	81728	+	WP_164551113.1	WP_164551113.1		DUF1566 domain-containing protein			STH12_RS00310	648	215	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	81951	84614	+							STH12_RS00315	2664		old_locus_tag=STH12_00064
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	81951	84614	+	WP_126165709.1	WP_126165709.1		DNRLRE domain-containing protein			STH12_RS00315	2664	887	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	84786	85499	+							STH12_RS00320	714		old_locus_tag=STH12_00065
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	84786	85499	+	WP_126165710.1	WP_126165710.1		arginine N-succinyltransferase			STH12_RS00320	714	237	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	85700	86878	+							STH12_RS00325	1179		old_locus_tag=STH12_00066
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	85700	86878	+	WP_164551114.1	WP_164551114.1		GGDEF domain-containing protein			STH12_RS00325	1179	392	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	87044	87520	+					ybaK		STH12_RS00330	477		old_locus_tag=STH12_00067
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	87044	87520	+	WP_126165712.1	WP_126165712.1		Cys-tRNA(Pro) deacylase	ybaK		STH12_RS00330	477	158	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	87602	88921	+							STH12_RS00335	1320		old_locus_tag=STH12_00068
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	87602	88921	+	WP_126165713.1	WP_126165713.1		BamA/TamA family outer membrane protein			STH12_RS00335	1320	439	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	89105	92131	-							STH12_RS00340	3027		old_locus_tag=STH12_00069
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	89105	92131	-	WP_126165714.1	WP_126165714.1		M9 family metallopeptidase			STH12_RS00340	3027	1008	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	92464	93453	+							STH12_RS00345	990		old_locus_tag=STH12_00070
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	92464	93453	+	WP_126165715.1	WP_126165715.1		NAD(P)H-quinone oxidoreductase			STH12_RS00345	990	329	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	93702	94121	+							STH12_RS00350	420		old_locus_tag=STH12_00071
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	93702	94121	+	WP_126165716.1	WP_126165716.1		hypothetical protein			STH12_RS00350	420	139	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	94204	95229	-							STH12_RS00355	1026		old_locus_tag=STH12_00072
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	94204	95229	-	WP_126165717.1	WP_126165717.1		galactose mutarotase			STH12_RS00355	1026	341	
gene	pseudogene	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	95375	96522	-					galK		STH12_RS00360	1148		pseudo
CDS	without_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	95375	96522	-				galactokinase	galK		STH12_RS00360	1148		pseudo
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	96663	98270	-							STH12_RS00365	1608		old_locus_tag=STH12_00075
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	96663	98270	-	WP_126165718.1	WP_126165718.1		cation:proton antiporter			STH12_RS00365	1608	535	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	98403	100217	-							STH12_RS00370	1815		old_locus_tag=STH12_00076
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	98403	100217	-	WP_126169365.1	WP_126169365.1		protein-disulfide reductase DsbD			STH12_RS00370	1815	604	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	100217	100546	-							STH12_RS00375	330		old_locus_tag=STH12_00077
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	100217	100546	-	WP_126165719.1	WP_126165719.1		divalent-cation tolerance protein CutA			STH12_RS00375	330	109	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	100855	101412	+							STH12_RS00380	558		old_locus_tag=STH12_00078
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	100855	101412	+	WP_126165720.1	WP_126165720.1		FxsA family protein			STH12_RS00380	558	185	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	101523	103337	-							STH12_RS00385	1815		old_locus_tag=STH12_00079
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	101523	103337	-	WP_126165721.1	WP_126165721.1		protein kinase			STH12_RS00385	1815	604	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	103538	103882	+							STH12_RS00390	345		old_locus_tag=STH12_00080
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	103538	103882	+	WP_126165722.1	WP_126165722.1		hypothetical protein			STH12_RS00390	345	114	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	103973	104629	+							STH12_RS00395	657		old_locus_tag=STH12_00081
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	103973	104629	+	WP_126165723.1	WP_126165723.1		thiopurine S-methyltransferase			STH12_RS00395	657	218	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	104776	105801	-							STH12_RS00400	1026		old_locus_tag=STH12_00082
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	104776	105801	-	WP_126165724.1	WP_126165724.1		porin			STH12_RS00400	1026	341	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	106083	107114	-							STH12_RS00405	1032		old_locus_tag=STH12_00083
